Name,Released_Year,Runtime,Genre,IMDB_Rating,Meta_score,No_of_Votes,Gross
Trainspotting,1996,93 min,Drama,8.1,83,634716,"16,501,785"
Fargo,1996,98 min,"Crime, Drama, Thriller",8.1,85,617444,"24,611,975"
Underground,1995,170 min,"Comedy, Drama, War",8.1,,55220,"171,082"
La haine,1995,98 min,"Crime, Drama",8.1,,150345,"309,811"
Dilwale Dulhania Le Jayenge,1995,189 min,"Drama, Romance",8.1,,63516,
Before Sunrise,1995,101 min,"Drama, Romance",8.1,77,272291,"5,535,405"
Trois couleurs: Rouge,1994,99 min,"Drama, Mystery, Romance",8.1,100,90729,"4,043,686"
Chung Hing sam lam,1994,102 min,"Comedy, Crime, Drama",8.1,77,63122,"600,200"
Jurassic Park,1993,127 min,"Action, Adventure, Sci-Fi",8.1,68,867615,"402,453,882"
In the Name of the Father,1993,133 min,"Biography, Crime, Drama",8.1,84,156842,"25,010,410"
Ba wang bie ji,1993,171 min,"Drama, Music, Romance",8.1,,25088,"5,216,888"
Dà hóng denglong gaogao guà,1991,125 min,"Drama, History, Romance",8.1,,29662,"2,603,061"
Dead Poets Society,1989,128 min,"Comedy, Drama",8.1,79,425457,"95,860,116"
Stand by Me,1986,89 min,"Adventure, Drama",8.1,75,363401,"52,287,414"
Platoon,1986,120 min,"Drama, War",8.1,92,381222,"138,530,565"
"Paris, Texas",1984,145 min,Drama,8.1,78,91188,"2,181,987"
Kaze no tani no Naushika,1984,117 min,"Animation, Adventure, Fantasy",8.1,86,150924,"495,770"
The Thing,1982,109 min,"Horror, Mystery, Sci-Fi",8.1,57,371271,"13,782,838"
Pink Floyd: The Wall,1982,95 min,"Drama, Fantasy, Music",8.1,47,76081,"22,244,207"
Fitzcarraldo,1982,158 min,"Adventure, Drama",8.1,,31595,
Fanny och Alexander,1982,188 min,Drama,8.1,100,57784,"4,971,340"
Blade Runner,1982,117 min,"Action, Sci-Fi, Thriller",8.1,84,693827,"32,868,943"
The Elephant Man,1980,124 min,"Biography, Drama",8.1,78,220078,
Life of Brian,1979,94 min,Comedy,8.1,77,367250,"20,045,115"
